pruning_level,scenario,masking_mode,pruning_method,i2t_top1,top1_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,cka_vision,cka_text,npr_vision,coordinate error,superordinate error,domain error,domain collapse,top10_coordinate_ratio,top10_superordinate_ratio,top10_domain_ratio,noise_floor_top1_acc,noise_floor_mrr,noise_floor_entropy,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality
0.0,joint,static,l1_unstructured,0.5556944608688354,0.5556944608688354,0.7265277777777778,0.9356944444444445,0.6713155143139147,1.9807963371276855,1.0,1.0,1.0,1230,1506,224,239,0.3061111111111111,0.8252083333333333,0.9221944444444444,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5459090909090909,0.5710714285714286,-0.025162337662337664
0.05,joint,static,l1_unstructured,0.5523611307144165,0.5523611307144165,0.7284722222222222,0.9366666666666666,0.6692863361913752,1.9745177030563354,0.9991726279258728,0.9987620711326599,0.9268055555555555,1268,1499,215,241,0.3069166666666666,0.8265277777777779,0.9236666666666666,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5413636363636364,0.5696428571428571,-0.028279220779220737
0.1,joint,static,l1_unstructured,0.5520833134651184,0.5520833134651184,0.7288888888888889,0.935,0.6713425519060124,1.9756053686141968,0.9866122007369995,0.9935604333877563,0.7513611111111111,1273,1484,217,251,0.30895833333333333,0.8260416666666667,0.9250138888888889,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5413636363636364,0.5689285714285715,-0.02756493506493507
0.15,joint,static,l1_unstructured,0.5845833420753479,0.5845833420753479,0.7408333333333333,0.9330555555555555,0.6992650089628059,2.1510860919952393,0.927558183670044,0.9887287020683289,0.4993888888888889,1125,1384,216,266,0.31243055555555554,0.8076805555555557,0.9210694444444445,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5704545454545454,0.6067857142857143,-0.036331168831168825
0.2,joint,static,l1_unstructured,0.5465278029441833,0.5465278029441833,0.7048611111111112,0.9133333333333333,0.6675614777319213,2.4971823692321777,0.8379342555999756,0.9773311018943787,0.31633333333333336,1140,1501,323,301,0.2971944444444445,0.7822638888888891,0.915,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.525,0.5803571428571429,-0.05535714285714288
0.25,joint,static,l1_unstructured,0.4561111032962799,0.4561111032962799,0.6254166666666666,0.8869444444444444,0.5855958860658723,2.927264451980591,0.7409916520118713,0.9562960863113403,0.21158333333333332,1219,1883,480,334,0.2808888888888889,0.7628611111111112,0.9124583333333335,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.43772727272727274,0.485,-0.047272727272727244
0.3,joint,static,l1_unstructured,0.3141666650772095,0.3141666650772095,0.5018055555555555,0.8627777777777778,0.4546549007857665,3.5519378185272217,0.6314582824707031,0.9259188175201416,0.1388611111111111,1351,2599,650,338,0.24366666666666664,0.7503055555555556,0.9108611111111112,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.28295454545454546,0.3632142857142857,-0.08025974025974025
0.35,joint,static,l1_unstructured,0.14180555939674377,0.14180555939674377,0.30416666666666664,0.8366666666666667,0.2716275271318835,4.092163562774658,0.506701648235321,0.9008073210716248,0.08636111111111111,1169,3834,714,462,0.1825277777777778,0.7562222222222222,0.9098333333333335,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.11227272727272727,0.18821428571428572,-0.07594155844155845
0.4,joint,static,l1_unstructured,0.07583333551883698,0.07583333551883698,0.22944444444444445,0.7790277777777778,0.18255404271746772,4.715602397918701,0.42592793703079224,0.8517968654632568,0.06255555555555556,1106,3957,1087,504,0.14476388888888891,0.7308194444444445,0.9177638888888889,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.05613636363636364,0.10678571428571429,-0.05064935064935065
0.45,joint,static,l1_unstructured,0.023194445297122,0.023194445297122,0.09791666666666667,0.8140277777777778,0.08922679649212142,5.118594646453857,0.2980111241340637,0.7728487253189087,0.042722222222222224,538,5156,838,501,0.09380555555555556,0.7741805555555556,0.919513888888889,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.017045454545454544,0.032857142857142856,-0.01581168831168831
